Id_Modelo;Nombre_Modelo;marca_vehiculo
60;ACCORD;HONDA
5;CIVIC;HONDA
42;ODISSEY;HONDA
31;CRV;HONDA
34;PILOT;HONDA
64;FIT;HONDA
18;CITY;HONDA
67;3;MAZDA
51;6;MAZDA
38;5;MAZDA
7;CX7;MAZDA
16;PICK UP;MAZDA
19;ELEMENT;HONDA
63;CROSSTOUR;HONDA
3;CR-Z;HONDA
43;RID LINE PICK UP;HONDA
40;CAMRY;TOYOTA
56;COROLLA;TOYOTA
54;MATRIX;TOYOTA
48;4 RUNNER;TOYOTA
52;LAND CRUISER;TOYOTA
4;SOLARA;TOYOTA
36;FJ CRUISER;TOYOTA
12;AVANZA;TOYOTA
47;HIGHLANDER;TOYOTA
65;SEQUOIA;TOYOTA
58;RUSH;TOYOTA
35;PRIUS;TOYOTA
30;TACOMA PICK UP;TOYOTA
25;HILUX PICK UP;TOYOTA
41;TUNDRA PICK UP;TOYOTA
13;HIACE PANEL;TOYOTA
70;SIENNA;TOYOTA
44;YARIS;TOYOTA
10;MR2;TOYOTA
2;S40;VOLVO
1;C70;VOLVO
22;AERIO;SUZUKI
57;50-110;SUZUKI
27;111-250;SUZUKI
49;251-650;SUZUKI
61;651-1000;SUZUKI
20;1000-2000;SUZUKI
46;GRAND VITARA;SUZUKI
69;XL7;SUZUKI
8;SX4;SUZUKI
28;KIZASHI;SUZUKI
53;SWIFT;SUZUKI
59;ELANTRA;HYUNDAI
50;GENESIS;HYUNDAI
6;1001-2000;HONDA
45;CX9;MAZDA
26;MX5;MAZDA
39;2;MAZDA
14;CX-5;MAZDA
24;RAV4;TOYOTA
66;HIACE;TOYOTA
55;AVENSIS;TOYOTA
17;C30;VOLVO
62;XC60;VOLVO
23;S60;VOLVO
15;S70;VOLVO
33;S80;VOLVO
37;V40;VOLVO
21;V50;VOLVO
29;V70;VOLVO
32;XC70;VOLVO
68;XC90;VOLVO
9;V60;VOLVO
11;SANTA-FE;HYUNDAI
